Gemeindenamen;Kanton;Jahr;Art der Entstehung
Bernex;GE;1850;Bernex-Onex-Confignon divisée en deux communes: Bernex et Onex-Confignon
Kandergrund;BE;1850;von Frutigen abgetrennt
Onex-Confignon;GE;1850;Bernex-Onex-Confignon divisée en deux communes: Bernex et Onex-Confignon
Arosa;GR;1851;von Davos abgetrennt
Bardonnex;GE;1851;Compesières divisée en deux communes: Bardonnex et Plan-les-Ouates
Confignon;GE;1851;Onex-Confignon divisée en deux communes: Onex et Confignon 
Gy;GE;1851;détachée de Jussy
Laconnex ;GE;1851;détachée de Soral
Les Eplatures;NE;1851;détachée du Locle
Onex;GE;1851;Onex-Confignon divisée en deux communes: Onex et Confignon
Plan-les-Ouates;GE;1851;Compesières divisée en deux communes: Bardonnex et Plan-les-Ouates
Puplinge;GE;1851;détachée de Presinge
Gerra (Verzasca);TI;1852;separato da Brione (Verzasca)
Laufen;BL;1852;Vereinigung von Laufen Stadt und Laufen Vorstadt
Lavey-Morcles;VD;1852;Fusion de Lavey et Morcles
Campello;TI;1853;separato da Calpiogna
Ghirone;TI;1853;separato da Aquila
Mastrils;GR;1854;von Zizers abgetrennt
Niederrohrdorf;AG;1854;Rohrdorf in Niederrohrdorf, Oberrohrdorf und Remetschwil aufgeteilt
Oberrohrdorf;AG;1854;Rohrdorf in Niederrohrdorf, Oberrohrdorf und Remetschwil aufgeteilt
Remetschwil;AG;1854;Rohrdorf in Niederrohrdorf, Oberrohrdorf und Remetschwil aufgeteilt
Bellevue;GE;1855;détachée de Collex-Bossy
Frasnacht;TG;1857;von Egnach abgetrennt
Anières;GE;1858;détachée de Corsier (GE)
Linescio;TI;1858;separato da Cevio
Rüschegg;BE;1860;von Guggisberg abgetrennt
Prato-Sornico;TI;1864;Fusione di Prato (Vallemaggia) e Sornico
Rasa;TI;1864;separato da Palagnedra
Leibstadt;AG;1866;Vereinigung von Oberleibstadt und Unterleibstadt
St. Niklaus;VS;1866;Vereinigung von St. Niklaus Dorf und St. Niklaus Matt
Leuggelbach;GL;1868;von Luchsingen abgetrennt
Brienz-Surava;GR;1869;Vereinigung von Brienz (GR) und Surava
Chêne-Bourg;GE;1869;Chêne-Thônex divisée en deux communes: Chêne-Bourg et Thônex
Thônex;GE;1869;Chêne-Thônex divisée en deux communes: Chêne-Bourg et Thônex
Humlikon ;ZH;1872;von Adlikon abgetrennt
Oerlikon;ZH;1872;von Schwamendingen abgetrennt
Oberbözberg;AG;1873;Bözberg in Oberbözberg und Unterbözberg aufgeteilt
Unterbözberg;AG;1873;Bözberg in Oberbözberg und Unterbözberg aufgeteilt
Birsfelden;BL;1874;von Muttenz abgetrennt
Brot-Plamboz;NE;1875;Fusion de Brot-Dessus et Plamboz
Fenin-Vilars-Saules;NE;1875;Fusion de Fenin, Saules et Vilars 
Göschenen;UR;1875;von Wassen abgetrennt
Landeron-Combes;NE;1875;Fusion de Combes et Le Landeron
Vaumarcus-Vernéaz;NE;1875;Fusion de Vaumarcus et Vernéaz
Zillis-Reischen;GR;1875;Vereinigung von Reischen und Zillis
Cimadera;TI;1878;separato da Sonvico
St. Martin;GR;1878;von Tersnaus abgetrennt
Truttikon;ZH;1879;von Trüllikon abgetrennt
Says;GR;1880;von Trimmis abgetrennt
Vétroz;VS;1880;détachée de Conthey
Muralto;TI;1881;separato da Orselina
Gresso;TI;1882;separato da Vergeletto
Brienz (GR);GR;1883;Brienz-Surava in Brienz (GR) und Surava aufgeteilt
Surava;GR;1883;Brienz-Surava in Brienz (GR) und Surava aufgeteilt
Turgi;AG;1883;von Gebenstorf abgetrennt
Widnau;SG;1883;von Diepoldsau abgetrennt
Oberiberg;SZ;1884;Iberg in Oberiberg und Unteriberg aufgeteilt
Unteriberg;SZ;1884;Iberg in Oberiberg und Unteriberg aufgeteilt
Filzbach;GL;1887;Kerenzen-Mühlehorn in Filzbach, Mühlehorn und Obstalden aufgeteilt
Mühlehorn;GL;1887;Kerenzen-Mühlehorn in Filzbach, Mühlehorn und Obstalden aufgeteilt
Obstalden;GL;1887;Kerenzen-Mühlehorn in Filzbach, Mühlehorn und Obstalden aufgeteilt
Marin-Epagnier;NE;1888;Fusion d'Epagnier et Marin
Saint-Aubin-Sauges;NE;1888;Fusion de Saint-Aubin et Sauges
Thielle-Wavre;NE;1888;Fusion de Thielle et Wavre
Trient;VS;1900;détachée de Martigny-Combe
Murgenthal;AG;1901;Vereinigung von Balzenwil und Riken (AG)
Pambio-Noranco;TI;1904;Fusione di Pambio e Noranco
Chermignon;VS;1905;détachée de Lens
